epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,761.435,0.80625,0.53679,1.05584,0.80741,0.78242,0.85734,0.641,0.8999,0.82489,1.11327,0.000240644,0.000240644,0.000240644
86,770.396,0.79902,0.52835,1.05191,0.84663,0.77123,0.85104,0.63408,0.90797,0.81103,1.11578,0.000226497,0.000226497,0.000226497
87,779.419,0.79519,0.53149,1.05611,0.82406,0.77389,0.85148,0.63692,0.91605,0.84075,1.13369,0.000212349,0.000212349,0.000212349
88,788.374,0.80547,0.51774,1.03538,0.85121,0.76784,0.85198,0.63789,0.90795,0.82173,1.11738,0.000198202,0.000198202,0.000198202
89,797.324,0.78361,0.51811,1.04573,0.86856,0.73771,0.85458,0.64625,0.89314,0.799,1.10207,0.000184055,0.000184055,0.000184055
90,806.312,0.7871,0.52209,1.04505,0.84195,0.7556,0.85929,0.64174,0.9081,0.85575,1.11525,0.000169908,0.000169908,0.000169908
91,823.774,0.78292,0.44858,0.99974,0.8508,0.74744,0.85312,0.63439,0.90248,0.81352,1.11898,0.000155761,0.000155761,0.000155761
92,832.682,0.75538,0.41979,0.97556,0.82465,0.76581,0.8538,0.63404,0.90984,0.82978,1.12043,0.000141614,0.000141614,0.000141614
93,841.556,0.77482,0.42327,0.98665,0.82728,0.77377,0.8514,0.63392,0.89903,0.80239,1.11943,0.000127467,0.000127467,0.000127467
94,850.523,0.75865,0.41379,0.99195,0.84721,0.73763,0.84617,0.63396,0.89524,0.84941,1.11194,0.00011332,0.00011332,0.00011332
95,859.383,0.75986,0.41222,0.98635,0.81781,0.77503,0.8463,0.62991,0.89271,0.84344,1.10955,9.91726e-05,9.91726e-05,9.91726e-05
96,868.27,0.75634,0.42205,0.99122,0.82793,0.75646,0.84136,0.63061,0.89495,0.84613,1.11408,8.50255e-05,8.50255e-05,8.50255e-05
97,877.263,0.75143,0.40448,0.98935,0.83638,0.75268,0.84447,0.63339,0.89039,0.8381,1.11267,7.08784e-05,7.08784e-05,7.08784e-05
98,886.093,0.76728,0.4115,0.98875,0.81729,0.76104,0.84542,0.6345,0.88902,0.83017,1.11005,5.67313e-05,5.67313e-05,5.67313e-05
99,894.964,0.73942,0.39883,0.97599,0.80608,0.76208,0.8439,0.6324,0.89026,0.85299,1.11187,4.25842e-05,4.25842e-05,4.25842e-05
100,903.831,0.75319,0.40667,0.99236,0.80575,0.76548,0.84461,0.63483,0.89142,0.85098,1.11426,2.84371e-05,2.84371e-05,2.84371e-05
